"Stem","A","B","C","D","E","CorrectLetters","Answer","Type","Tags"  ##这一行需要删掉，下面是数据内容
"( )是指动画片段之间的疏密变化","时间点","空间幅度","重叠动作","视觉停留","","B","","single","一切都在时间点和空间幅度_Q1"
"在动画中，基本的动画元素是( )","人物形象","色彩构成","空间幅度","镜头画面","时间点","C,E","","multiple","一切都在时间点和空间幅度_Q2"
"《木偶奇遇记》发行的时间是( )","1935年","1940年","1946年","1950年","","B","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q1"
"中间画动画师的来历是因为( )向戴夫·弗莱舍提议的需要一个助手画中间画","迪克·胡莫","埃里克·拉尔森","肯·哈里斯","格里幕·耐特维克","","A","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q2"
"在助手或中间画画师的工作中起决定作用的是( )","线条","尺度","外形","颜色","","C","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q3"
"最理想的动画工作方式是( )","逐张画法","原动画法","重点动画法","逐张画法与原动画法的结合","","D","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q4"
"制作“男人走向黑板”的动画，最先绘制的应该是( )","关键张","接触点","小原画","标尺","","A","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q5"
"《谁陷害了兔子罗杰》的成功极大地鼓舞了动画的复兴，制作该片时至关重要的一点是( )","运用了逐张画法和原动画法结合的动画方式","用录像反复试拍","使用一拍二和一拍一结合的方式编码","使用曲线设计动作","","B","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q6"
"摄影表中用于安排时间节点的是( )","动作栏","对白栏","关键栏","节点栏","","A","","single","标尺和中间画、原画和小原画、关键张、摄影表_Q7"
"20世纪30年代，两个原画之间的中间位置被称为( )","小原画","适当位置","中原画","过场位置","过渡位置","A,E","","multiple","标尺和中间画、原画和小原画、关键张、摄影表_Q8"
"下列关于中间画的说法正确的是( )","必要时可以用三个好的中间画掩盖住两个差的中间画","两个好的中间画和三个差的中间画可以勉强过关","如果把一个小原画或过渡位置弄错，那么所有的中间画就全都错了","动画师提供标尺的目的是保证中间画的外形一致","动画师永远不要把连续绘制三张中间画的工作布置给助手","A,C,E","","multiple","标尺和中间画、原画和小原画、关键张、摄影表_Q9"
"动画中的正常动作一般使用( )","一拍一","一拍二","一拍三","一拍四","","B","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q1"
"快动作或很流畅的动作使用( )","一拍一","一拍二","一拍三","一拍四","","A","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q2"
"电脑动画师所有的工作都采用( )","一拍一","一拍二","一拍三","一拍四","","A","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q3"
"传统动画师们一直在为到底应该用上定位 (Top Pegs)画图还是用下定位（Bottom Pegs）画图而争论不休。目前看来，多数人做动画时用( )固定他们的图","上定位","下定位","左定位","右定位","","B","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q4"
"作者发现( )在一个用胶带粘住定位尺的特大白色有机玻璃圆盘上画图","罗伊·纳斯比特","吉姆·理查森","弗兰克·托马斯","肯·哈里斯","","A","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q5"
"在作者眼中，上定位适用于( )，下定位更适合翻卷画页","定位","检查进度","画图","翻卷画页","","C","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q6"
"下列中间画正确的是( )","","","","","","D","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q7"
"长距离的运动轨迹是条( )","直线","弧线","波浪线","8字线","","B","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q8"
"动画师们开始使用拉长的中间画的时间是( )","20世纪20年代","20世纪30年代","20世纪40年代","20世纪50年代","","B","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q9"
"在时间太少，而人物动作太多的情况下，解决手臂和腿在一个动作中摆动太大的办法是( )","加入中间画","把动作放快两倍","加入虚影效果","把动作放慢两倍","","D","","single","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q10"
"绝大多数情况下，一个动作的轨迹呈( )","波浪形","8字形","直线形","弧线形","不规则形","A,B","","multiple","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q11"
"下列关于助手的任务的说法正确的是( )","助手的任务是做些不太重要的细节工作以便让动画师腾出手完成更多工作","助手不等于没头没脑的绘画机器","电脑能做出完美的中间画，但无法代替助手的工作","助手依靠电脑程序生产的动作，绘制有生气的动画","好的助手会起到画龙点睛的作用","A,B,C,E","","multiple","一拍一与一拍二之争、上定位和下定位之争、再述空间幅度等_Q12"
"肯·哈里斯认为学习动画的第一件事就是画( )","弹球","行走","跳跃","表情","","B","","single","行走_Q1"
"在正常的“真实”走路中，过渡位置之后人的重心( )","上升","下降","不变","不确定","","A","","single","行走_Q2"
"画走路的动画首先要设定一个走路的( )","标尺","幅度","节奏","姿势","","C","","single","行走_Q3"
"一般人走路的节拍是行军式的( )","8格","12格","13格","16格","","B","","single","行走_Q4"
"卡通式走路经常用( )节奏","8格","12格","13格","16格","","A","","single","行走_Q5"
"《猫和老鼠》的节奏为( )","8格","12格","13格","16格","","A","","single","行走_Q6"
"作者认为( )是绝大多数动画动作的最有效方式","向上位置法","关键法","向下位置法","接触法","","D","","single","行走_Q7"
"( )适合非正统的创意","向上位置法","关键法","向下位置法","接触法","","C","","single","行走_Q8"
"在动画中“折断”关节的原因是( )","吸引观众眼球","让人物更具可塑性、更鲜活","产生幽默效果","打破常规，追求前卫的艺术效果","","B","","single","行走_Q9"
"下列关于走路动画的说法正确的有( )","最好尽量把人物简化","","可以做成脚在原地往后滑的这种循环式的走路动作","可以画一个脚和身体循环的走路动作，但是别忘了让胳膊和头分开运动","要让大脑集中在一个往前迈步的有趣的行走姿势上","A,B,D,E","","multiple","行走_Q10"
"跑步必须用( )","一拍一","一拍二","二拍一","二拍三","","A","","single","跑_Q1"
"跑步过程中，腿着地时( )以增加活力和动感","弯曲","伸直","扭曲","外撇","","B","","single","跑_Q2"
"在一个非常快的跑步动作中，( )的动作是最主要的","头","手臂","腿","胯","","C","","single","跑_Q3"
"当人绕着一个圆圈跑时，他的身体向着圆圈的( )倾斜","前方","后方","外侧","中心","","D","","single","跑_Q4"
"当人绕着一个圆圈跑时，眼睛跟着( )转","手臂","身体","腿","双脚","","B","","single","跑_Q5"
"矮小生物的快跑动画更含蓄，由于众多动作重叠在一起，( )","不需要很多张就可以完成一个动作","需要稍长的时间才能完成一个动作","更夸张的完成一个动作","一般情况下用5—8格完成一个动作","","A","","single","跑_Q6"
"4张画模式的跑步适合( )的人物","长腿","肥胖","短腿","纤瘦","","C","","single","跑_Q7"
"在4张画模式的跑步中，奔跑之人的最佳姿势是( )","双脚滑动","身体倾斜","胳膊前伸","胳膊后伸","","C","","single","跑_Q8"
"转圈循环中，效果很好的是( )","短循环","中循环","间断循环","长循环","","D","","single","跑_Q9"
"3张画模式的跑步最适用于( )的卡通形象","矮小","高个子","肥胖","纤瘦","","A","","single","跑_Q10"
"在每秒24格的电影画面里，能达到的最快速度的跑步动画模式是( )","2张画模式","3张画模式","4张画模式","5张画模式","","A","","single","跑_Q11"
"20世纪40年代，超越了极限、创造性地挑战重心元素的导演是( )","詹姆斯·斯图亚特·布莱克顿","泰克斯·艾弗瑞","米尔特·卡尔","尤比·卢克斯","","B","","single","跑_Q12"
"在一个跑步中，如果是一拍二的跑步，则手臂的摆动比跑步动作本身( )","快","慢","重","轻","","B","","single","跑_Q13"
"我们可以在跑的( )计划一个跑步动作","任何位置","向上位置","向下位置","过渡位置","","A","","single","跑_Q14"
"下列关于跑步动作的说法正确的是( )","在一个4格的快跑中，5号图的剪影应该和它相应的1号图完全一样","在“正常”的跑中，两只胳膊移动的方向相反","在快跑中可以让脚下打滑，但在走路中不能这样做","在快跑的动画中，诸多位置应稍微重叠以便让眼睛有足够时间辨认","在“现实”中，人跑得越快，身体就越往前倾，但必须一直保持平衡","B,C,D","","multiple","跑_Q15"
"长腿的人物“追赶”式奔跑动画一般情况下用( )","3格","4格","5格","6格","7格","C,D,E","","multiple","跑_Q16"
"绘制动画时先画( )","接触位置","过渡位置","中间位置","经过位置","","A","","single","弹性、可识别的侧影等_Q3"
"在( )的情况下人物的身体一部分一部分地运动，不是一切都在同一时刻发生","重叠动作","飘动动作","抽打动作","反动作","","A","","single","弹性、可识别的侧影等_Q4"
"我们身体的大多数动作是从( )开始的","头部","胸部","臀部","腿部","","C","","single","弹性、可识别的侧影等_Q5"
"( )意即一个部位先开始动而其他部位随着这个部位动","过渡动作","飘动动作","抽打动作","重叠动作","","D","","single","弹性、可识别的侧影等_Q6"
"为了保持身体平衡，我们往往会设计( )","重叠动作","飘动动作","抽打动作","反动作","","D","","single","弹性、可识别的侧影等_Q7"
"连贯地弯曲关节可以产生( )","弹性","反动作","重叠","重量","","A","","single","弹性、可识别的侧影等_Q8"
"给“弯曲关节以产生弹性”定名的是( )","阿特·巴比特","泰克斯·艾弗瑞","米尔特·卡尔","尤比·卢克斯","","A","","single","弹性、可识别的侧影等_Q9"
"( )是第一个真正画女性的动画师","阿特·巴比特","泰克斯·艾弗瑞","米尔特·卡尔","格里幕·耐特维克","","D","","single","弹性、可识别的侧影等_Q10"
"20世纪20年代发明“橡胶软管”动画法的是( )","阿特·巴比特","比尔·诺兰","米尔特·卡尔","格里幕·耐特维克","","B","","single","弹性、可识别的侧影等_Q11"
"在多数身体的剧烈运动中，动作的开始或源头是( )","头部","胸部","臀部","腿部","","C","","single","弹性、可识别的侧影等_Q12"
"通过“拍桌子”这个例子，可以得到( )与“橡皮软管”动画法异曲同工的弹性动作","弯曲关节","重叠动作","反动作","飘动动作","","A","","single","弹性、可识别的侧影等_Q13"
"含蓄、巧妙地使用关节弯曲动作得到的结果是( )","反动作","弹性动作","抽打动作","重叠动作","","B","","single","弹性、可识别的侧影等_Q14"
"在走路中，重心落在( )","腿弯曲承重时的向下位置","脚掌","腿弯曲承重时的向上位置","胯部","","A","","single","重量、预备动作等_Q1"
"动画人物用劲抱起重物，用劲上抬时后背的弧线应该( )","收紧","反过来","呈8字形","拉直","","B","","single","重量、预备动作等_Q2"
"表现一只手捡起一块砖头和拾起一根羽毛的区别体现在物体的( )","弹性","材质","质感","重量感","","D","","single","重量、预备动作等_Q3"
"在搬起较重的物体时，动作始于( )","头部","胸部","臀部","胳膊肘","","C","","single","重量、预备动作等_Q4"
"在捡起一支铅笔时，动作的源头在( )","头部","胸部","臀部","胳膊肘","","D","","single","重量、预备动作等_Q5"
"一个硬邦邦的高尔夫球落下，当它碰到地面时会( )","被压扁","弹起来","滚动","停止","","B","","single","重量、预备动作等_Q6"
"如果一个人穿着一件轻飘飘的大衣在跑，突然停下来，大衣会继续飘动，独立于他的身体而往前飘动，然后飘回来恢复平静，这种现象称为( )","重叠动作","动作跟随","反动作","过渡动作","","B","","single","重量、预备动作等_Q7"
"跳舞的实质是( )","关于双脚的动作","关于手臂的动作","关于臀部的动作","关于身体的动作","","D","","single","重量、预备动作等_Q8"
"在一个舞蹈动作中，身体一般在向下时合上节拍，身体( )时我们能感受到重量","向上","弯曲","向下","扭动","","C","","single","重量、预备动作等_Q9"
"通常预备动作的速度( )","较慢","较快","与主要动作一致","不确定","","A","","single","重量、预备动作等_Q10"
"下列关于压力和重量的说法正确的有( )","停止一个物体的运动需要使用多大力气就表明它有多重","一个动作的速度会决定衣角摆动的幅度有多大","人物可以在一个动作中身体各部位统一移动","“动作跟随”是主要动作的结果，并由主要动作产生","我们真正能够表示重量的方式是通过动作","A,B,D,E","","multiple","重量、预备动作等_Q11"
"肯·哈里斯和阿特·巴比特认为跳舞中最重要的因素是( )的上下移动","双脚","身体","手","臀部","头部","B,C","","multiple","重量、预备动作等_Q12"
"对口型的关键是找到( )的感觉","整个单词","单个字母","重要辅音","重要元音。","","A","","single","对话_Q1"
"下列关于动画中对话的说法错误的是( )","识别声轨时不需要一字一句地进行对照","重要的辅音是那些需要闭着嘴说出来的辅音","不用画出每一个元音的动画","需要加入说话时舌头的中间画","","D","","single","对话_Q2"
"需要最少( )来辨认重要的辅音","2格","3格","4格","5格","","A","","single","对话_Q3"
"下列关于声画剪辑的说法错误的是( )","明文规定画面必须要提前声音2格才能达到效果要求。","绝不能让画面滞后于声音","从逻辑上说，转调是100％完美的","画面提前声音2格不是唯一的准则","","A","","single","对话_Q4"
"动画人物发出强劲的重音时，先向下或向上，说完后( )","嘴回到原位","持续这个位置","继续发音","加入强调动作","","A","","single","对话_Q5"
"动画人物发出柔和的重音时，先向下或向上，然后( )","嘴回到原位","持续这个位置","继续发音","加入强调动作","","B","","single","对话_Q6"
"声画剪辑同步取决于( )","角色本身","声音类型","如何表现","声画剪辑准则","剪辑师的习惯","A,B,C","","multiple","对话_Q7"
"下列关于动物动作的说法错误的是( )","四条腿的动物走路时两组腿稍稍不对称地走","动物动画原理和人体动画原则不同","动物动画从接触位置入手","两组腿走路会不断地产生重心转移","","B","","single","动物行走_Q1"
"如果我们了解动物，那么我们就可以根据( )的不同，把同样的知识运用到不同的动物身上","体型大小","重量","身体结构","接触位置","走路的时间节点","A,B,C,E","","multiple","动物行走_Q2"
"当徕卡带显示有不好的地方需要进行修改的是( )","动画","成片","徕卡带","镜头","","C","","single","导演_Q1"
"把角色之间的区别显示出来，这其实就是对比( )","动作","大小","形状","颜色","声音","B,C,D,E","","multiple","导演_Q2"
"下列关于导演说法正确的是( )","导演的的工作是选出动画师让他去适应并胜任工作","作为导演应该相信自己的素材","导演需要区分开角色","导演应该掌握剪辑技术","导演的职责是保证一个动画师化的镜头和另一个动画师画的镜头环环相扣","B,C,D,E","","multiple","导演_Q3"
"通常，一个( )是我们能制作的最强烈的表达","保持动作","重叠动作","反动作","预备动作","","A","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q1"
"下列关于保持动作的说法错误的是( )","保持动作是缓入和缓出的","所有动作都是在同一时间停止或开始","身体的某些部分会保持继续运动","完全停止时，仅保持局部的运动也是有效的","","B","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q2"
"导演普来斯顿·布莱尔说：“动画从( )中来——这是一种能让观众进入另一个世界的艺术。”","现实","艺术","思考","想象","","D","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q3"
"理查德·威廉姆斯获得第一个奥斯卡奖的作品是( )","《谁陷害了兔子罗杰》","《小岛》","《圣诞颂歌》","《粉红豹》","","C","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q4"
"下列观点不属于华特·迪士尼的是( )","我们不可能在现实的基础上创造出奇幻的东西，除非我们首先理解现实","要对生活和动作进行夸张","照实复制真实动作或真实事物以获得真实感","为提高创作技巧而学习真实动作，然后从另一个角度思考","","C","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q5"
"20世纪30年代，人们发现：播放真实人物的影像资料时，镜头中的人物是有可信的重量的；但一个技艺娴熟的艺术家严格地转描真实动作，重新拍摄后，人物在镜头中会呈现失重般的“漂浮”状态，这是因为( )","需要辨识的重要信息太多","转描不够细致","镜头的分辨率差异","观众产生错觉","","A","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q6"
"从动画视角练习素描需要人物动起来以便观察重量、平衡、活力等，其解决方法是( )","做慢速姿势速写训练","做快速姿势速写训练","做固定姿势速写训练","让模特动起来","","B","","single","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q7"
"导演阿特·巴比特认为动画和真人运动的区别有( )","艺术","奇幻","具有想象力","唯美","夸张","B,C,E","","multiple","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q8"
"米尔特·卡尔认为分析物体运动最重要的事情包括( )","表现力","个性","角色的思想","力学原理","运动轨迹","A,B,C","","multiple","保持动作、关于“真实”的大辩论、“诡异谷”、结论和建议等_Q9"
